Expression,Mean_C,SD_C,N_Rate,N_Unknown
paper work,4.1,0.9944289260117533,10,0
paperless office,3,1.4907119849998598,10,0
papier mache,4.6,0.699205898780101,10,0
papier-mache,4.5,0.7071067811865476,10,0
papillary tumor,4.1,1.66332999331662,10,0
paprika sauce,4.4,1.2649110640673518,10,0
par avion,NA,NA,2,8
par excellence,2.2,1.4757295747452437,10,1
par for the course,1.7222222222222223,0.8264420947336313,18,3
par value,2.388888888888889,1.2897281468629185,18,11
parabolic mirror,4.2,0.9189365834726815,10,7
parachute in,3.909090909090909,1.1361818036340359,11,1
parachute jump,4.9,0.31622776601683794,10,0
parachute jumper,4.111111111111111,1.078609610939221,18,2
paracingulate cortex,NA,NA,1,9
parade ground,4,1.1547005383792515,10,1
parade of horribles,2.4,0.9660917830792959,10,1
paradigm shift,1.1818181818181819,0.40451991747794525,11,2
paradise flower,4.5,0.97182531580755,10,1
paradise parrot,3.8333333333333335,1.3371158468430429,12,7
paradoxical sleep,3.1,1.5238839267549948,10,7
paraffin oil,4.888888888888889,0.3233808333817773,18,3
paraffin scale,3.6666666666666665,1.2309149097933274,12,8
paraffin wax,4.9,0.31622776601683794,10,2
parallel axiom,2.4,1.505545305418162,10,7
parallel bars,4.5,1.0801234497346435,10,0
parallel circuit,2.8333333333333335,1.1934162828797101,12,1
parallel imports,2.7,1.8287822299126937,10,6
parallel interface,3,1.7638342073763937,10,5
parallel line,4.181818181818182,1.2504544628399563,11,0
parallel lines,3.3,1.2516655570345725,10,0
parallel lives,2.6,1.2649110640673518,10,0
parallel of latitude,3.4,1.3498971154211057,10,6
parallel operation,2.6,1.2649110640673518,10,2
parallel park,4,1.3333333333333333,10,2
parallel parking,4.4,1.0749676997731399,10,0
parallel port,3.5454545454545454,1.7529196424044293,11,4
parallel processing,3,1.4832396974191326,11,4
parallel ruler,3.3,1.3374935098492586,10,2
parallelogram of forces,2.4,1.2649110640673518,10,5
paralympic games,4.1,0.9944289260117533,10,2
paralytic abasia,NA,NA,7,8
paramilitary force,3.7,1.2516655570345725,10,0
paramilitary organization,3.4,1.505545305418162,10,0
paramilitary unit,3.8,1.3165611772087666,10,1
paranoic type schizophrenia,2.7,1.70293863659264,10,0
paraquat poisoning,3.1578947368421053,1.11868761873192,19,10
parasitic plant,4.2,0.9189365834726815,10,2
parasol mushroom,4.315789473684211,1.2042808632793343,19,6
parathyroid gland,4.176470588235294,1.2366938848016846,17,4
parathyroid hormone,3.4545454545454546,1.3684762594679065,11,0
parcel bomb,4.266666666666667,0.9611501047232549,15,4
parcel off,3.1,1.5238839267549948,10,3
parcel out,3.727272727272727,1.2720777563426766,11,0
parcel post,3.8,1.2292725943057183,10,0
parcel up,2.6,1.2649110640673518,10,4
parceled out,2.9,0.7378647873726218,10,2
parched rice,3.9,1.1972189997378648,10,1
parchment paper,4.6,0.9660917830792959,10,0
pardon me,1.7,1.3374935098492586,10,0
pardon my french,2,1.3284223283101428,18,0
pare back,NA,NA,7,9
pare down,2.6666666666666665,1.2344267996967353,15,5
parent company,3.5,1.2692955176439846,10,1
parent organization,3.7,1.3374935098492586,10,0
parent-teacher association,3.272727272727273,1.1908743922772957,11,0
parent-teacher organization,3.6,1.505545305418162,10,0
parental alienation syndrome,2.4,1.577621275493231,10,4
parental control,2.8,1.6193277068654826,10,0
parental controls,3.3,1.3374935098492586,10,0
parental leave,2.9,1.1972189997378648,10,0
parental lock,4,1.247219128924647,10,0
parental love,2.8,1.4757295747452437,10,0
parfait glass,4.454545454545454,0.9341987329938275,11,1
parge coat,4.1,0.9944289260117533,10,6
pari passu,NA,NA,4,9
parietal lobe,4.7272727272727275,0.46709936649691375,11,0
paring knife,4.2727272727272725,1.1908743922772957,11,0
paris green,NA,NA,3,8
parish church,4,1.4142135623730951,10,1
parish clerk,3.9,1.3703203194062976,10,0
parish council,3.2,1.398411797560202,10,3
parish priest,3.9,1.5951314818673865,10,1
parish pump,2.923076923076923,1.4978617237881953,13,12
parish register,3.6315789473684212,1.382852378872881,19,6
parity bit,NA,NA,9,17
parity check,3.4,1.3498971154211057,10,3
park and ride,3.1,1.3703203194062976,10,1
park around,2.727272727272727,1.555050423035156,11,4
park avenue,3.7,1.1595018087284057,10,0
park away,NA,NA,7,8
park bench,4.9,0.31622776601683794,10,0
park commissioner,4.2,0.7888106377466155,10,3
park keeper,4.4,0.8432740427115678,10,2
park ranger,4.090909090909091,1.2210278829367867,11,2
park that thought,2.2,1.6193277068654826,10,0
park the bus,2.8,1.6865480854231356,10,0
park up,3.2,1.398411797560202,10,3
Parkes process,NA,NA,7,8
parking area,4.7,0.6749485577105528,10,0
parking brake,4.2,1.4757295747452437,10,0
parking facilities,4.4,0.8432740427115678,10,0
parking garage,4.8,0.6324555320336759,10,0
parking gate,4.3,1.2516655570345725,10,1
parking light,4.5,0.5270462766947299,10,1
parking lights,4.5,0.97182531580755,10,0
parking lot,4.6875,0.47871355387816905,16,0
parking meter,4.8,0.4216370213557839,10,0
parking space,4.588235294117647,0.8702602720890289,17,0
parking spot,4.3,1.3374935098492586,10,0
parking ticket,4.25,1.5447859516333116,12,0
parking zone,4.6,0.699205898780101,10,0
parkinson's disease,3.8,1.3165611772087666,10,1
parkinson's law,2,0.8944271909999159,11,8
parlay into,NA,NA,8,8
parliamentary democracy,3.2,1.3165611772087666,10,1
parliamentary law,4.4,1.0749676997731399,10,0
parliamentary private secretary,3.6,1.0749676997731399,10,2
parliamentary privilege,1.3,0.48304589153964794,10,7
parliamentary secretary,4.2,1.3165611772087666,10,0
parliamentary undersecretary,4.6,1.2649110640673518,10,3
parlor car,4.6,0.699205898780101,10,7
parlor chair,4.454545454545454,1.2135597524338357,11,1
parlor game,3.2,1.3165611772087666,10,0
parlor games,2.5,1.35400640077266,10,1
parlor grand,NA,NA,7,15
parlor palm,NA,NA,5,8
parlor pink,3.4545454545454546,1.4396969378057567,11,5
parmesan cheese,4.3,0.9486832980505138,10,0
parochial school,3.9,1.449137674618944,10,5
parole officer,4.4,0.699205898780101,10,0
parotid gland,3.8333333333333335,1.2673044646258476,12,2
paroxysmal trepidant abasia,NA,NA,3,8
parquet circle,3.5454545454545454,1.4396969378057567,11,7
parquet floor,4.7272727272727275,0.6466697906828632,11,2
parrot beak,4.636363636363637,0.674199862463242,11,1
parrot bill,4.9,0.31622776601683794,10,3
parrot fever,2.5833333333333335,1.5642792899510294,12,9
parry pinyon,NA,NA,5,9
parsley seed goes nine times to the devil,NA,NA,7,9
parson's nose,3.6,1.3498971154211057,10,6
part and parcel,2.6,1.577621275493231,10,0
part company,3.2,1.1352924243950935,10,0
part exchange,3.4,1.3498971154211057,10,1
part music,3,1.632993161855452,10,6
part name,3.1,1.286683937707919,10,7
part of,2.9,1.1005049346146119,10,0
part of speech,2.2,1.1352924243950935,10,0
part song,2.6,1.2649110640673518,10,5
part time,2.5833333333333335,1.729862492345632,12,0
part way,2.909090909090909,1.300349603340998,11,0
part ways,2.8181818181818183,1.4709304414677002,11,0
part with,2.4,1.505545305418162,10,0
part-time,2.2,1.1352924243950935,10,0
part-time bowler,4,1.1832159566199232,11,2
partake in,1.7,0.8232726023485646,10,0
partake of,2.7,1.3374935098492586,10,0
parted leaf,4.5,1.2692955176439846,10,3
parthian shot,NA,NA,6,8
parti pris,NA,NA,3,8
partial cloverleaf interchange,2.823529411764706,1.629236558853834,17,10
partial derivative,1.9,1.449137674618944,10,0
partial eclipse,4.6,0.699205898780101,10,1
partial false friend,2.5,1.0801234497346435,10,1
partial ordering relation,NA,NA,9,8
partial pressure,2.3,1.4944341180973264,10,0
partial to,2.3,1.0593499054713802,10,0
partial tone,2.6,1.6465452046971292,10,2
partially ordered,2.6,1.577621275493231,10,1
partially ordered set,3.090909090909091,1.1361818036340359,11,7
partially sighted,2.6363636363636362,1.2862913567871994,11,0
participant role,3.5,0.8498365855987975,10,0
participate in,2.1,1.449137674618944,10,0
particle accelerator,4,1.2649110640673518,11,1
particle detector,4.2,1.0327955589886444,10,1
particle physics,4.3,1.3374935098492586,10,0
parting gift,4,1.699673171197595,10,0
parting of the ways,2,0.9428090415820634,10,1
parting shot,2.1,0.9944289260117533,10,1
partition off,3.1818181818181817,1.662418829187267,11,4
partitive case,2.4705882352941178,1.1788578719900635,17,10
partly cloudy,3.9,1.286683937707919,10,0
partner in crime,2.6,1.3498971154211057,10,0
partner off,3,1.3333333333333333,10,1
partner up,2.4545454545454546,1.3684762594679065,11,0
partners in crime,1.6,0.8432740427115678,10,0
parts bin,3.8181818181818183,1.1677484162422844,11,0
parts catalog,4,1.4907119849998598,10,0
parts catalogue,4.181818181818182,1.3280197150781925,11,0
parts inventory,3.9,0.9944289260117533,10,1
party and play,3.1,1.449137674618944,10,3
party animal,3,1.632993161855452,10,1
party bag,3.5833333333333335,1.378954368902449,12,4
party boss,3.6,1.3498971154211057,10,1
party down,2.6,1.0749676997731399,10,0
party faithful,2.6,1.577621275493231,10,3
party favor,3.5454545454545454,1.2135597524338357,11,0
party favors,3.3,1.4181364924121764,10,0
party girl,2.9,1.66332999331662,10,0
party is over,2.6,1.3498971154211057,10,0
party line,2.2,0.9189365834726815,10,0
party man,3.1,1.5951314818673865,10,1
party member,3.4545454545454546,1.5075567228888183,11,0
party of god,2,1.632993161855452,10,1
party piece,4,0.7745966692414834,11,2
party plan,2.9,1.286683937707919,10,1
party planner,4.2727272727272725,1.009049958219026,11,0
party political,3,1.699673171197595,10,1
party political broadcast,4.2,1.1352924243950935,10,3
party politics,2,1.247219128924647,10,0
party pooper,2.4,1.3498971154211057,10,1
party popper,3.6666666666666665,1.4354811251305468,12,0
party school,3.1,1.5238839267549948,10,5
party spirit,1.8,1.0327955589886444,10,0
party to,2.4545454545454546,1.2135597524338357,11,2
party to that,2.2,1.5491933384829668,10,0
party to the action,2.1818181818181817,1.2504544628399563,11,2
party wall,3,1.6641005886756874,14,10
party whip,3.3,1.4181364924121764,10,3
party whistle,3.3,1.4181364924121764,10,1
pas de deux,NA,NA,7,8
pas de trois,NA,NA,7,8
pas du tout,NA,NA,6,20
paso doble,3.9,1.286683937707919,10,7
pasque flower,4.8,0.4216370213557839,10,7
pass along,2,0.9428090415820634,10,0
pass around,2.7,0.9486832980505138,10,0
pass as,2.3636363636363638,1.2862913567871994,11,5
pass away,3.3,1.2516655570345725,10,0
pass away in sleep,3.2,1.6193277068654826,10,1
pass back,3.2,1.2292725943057183,10,1
pass by,2.9,1.3703203194062976,10,0
pass catcher,3.2,1.3165611772087666,10,3
pass degree,2.8,1.6193277068654826,10,4
pass down,2.3333333333333335,1.1547005383792515,12,0
pass for,2.1,0.8755950357709131,10,1
pass forward,2.8,1.8135294011647258,10,1
pass in,2.3636363636363638,1.2060453783110545,11,1
pass into,1.6,0.5163977794943222,10,2
pass judgment,2.6,1.577621275493231,10,0
pass key,4,1.247219128924647,10,1
pass mark,3.1,1.1972189997378648,10,3
pass muster,1.4,0.5163977794943222,10,2
pass off,2.3636363636363638,1.433368568981982,11,0
pass off as,2.4,1.429840705968481,10,0
pass on,2.2,1.2292725943057183,10,1
pass on to,2.6666666666666665,0.9701425001453319,18,0
pass out,3,1.2833778958394957,18,0
pass out of,1.6,0.8432740427115678,10,2
pass over,2.5,1.509230856356236,10,0
pass over to the other side,3,1.247219128924647,10,0
pass play,3.3,1.3374935098492586,10,1
pass rate,3,1.4605934866804429,16,2
pass round,3.1818181818181817,1.4709304414677002,11,0
pass the buck,1.6363636363636365,0.9244162777371754,11,1
pass the hat,2.7,1.1595018087284057,10,0
pass the time,2.2,1.0327955589886444,10,0
pass the torch,1.7,1.0593499054713802,10,0
pass the word,1.9090909090909092,1.044465935734187,11,2
pass through,2.8,1.6193277068654826,10,0
pass to,2.4,1.3498971154211057,10,0
pass under the yoke,2.4,1.3498971154211057,10,5
pass up,2.7,1.3374935098492586,10,0
pass water,3.2,1.4757295747452437,10,1
pass wind,3.1,1.286683937707919,10,2
pass with flying colors,2.090909090909091,1.3751033019046572,11,0
passenger car,4.3,1.0593499054713802,10,0
passenger jeepney,NA,NA,9,8
passenger manifest,4.3,1.2516655570345725,10,0
passenger pigeon,2.6363636363636362,1.433368568981982,11,5
passenger seat,4.7,0.6749485577105528,10,0
passenger ship,4.8,0.4216370213557839,10,0
passenger train,4.8,0.6324555320336759,10,0
passenger van,4.7272727272727275,0.9045340337332909,11,0
passenger vehicle,4.5,0.7071067811865476,10,0
passing away,2.727272727272727,1.7372915179041823,11,0
passing comment,2.1818181818181817,1.3280197150781925,11,1
passing fancy,1.7,0.9486832980505138,10,2
passing game,3.4,1.2649110640673518,10,2
passing lane,3.9,1.5951314818673865,10,0
passing mark,3.066666666666667,1.2798809468443688,15,1
passing mention,1.9,0.9944289260117533,10,0
passing play,3.4,1.776388345929897,10,2
passing shot,2.8,1.3165611772087666,10,0
passing tone,2.4,1.505545305418162,10,5
passing water,3.2,1.7511900715418263,10,1
passion flower,3.2,1.6193277068654826,10,1
passion fruit,5,0,11,0
passion pit,3,1.3333333333333333,10,2
passion play,2,1.0540925533894598,10,2
passion sunday,2.6,1.3498971154211057,10,6
passion week,1.8,0.7888106377466155,10,3
passive resistance,2.3,1.3374935098492586,10,3
passive smoking,3.1,1.66332999331662,10,0
passive trust,1.2,0.4216370213557839,10,0
passive vocabulary,3.3,1.4181364924121764,10,0
passive voice,2.4,1.3498971154211057,10,0
passover supper,2.9,1.1005049346146119,10,2
passport control,4.454545454545454,0.6875516509523286,11,4
passport photo,4.454545454545454,0.8201995322647244,11,0
password protection,2.75,1.712255291076124,12,0
past century,3.2,1.7511900715418263,10,0
past continuous,1.5,0.8498365855987975,10,2
past decade,3.090909090909091,1.7002673586554236,11,0
past experience,2.8,1.4757295747452437,10,0
past imperfect tense,1.7272727272727273,1.2720777563426766,11,1
past is slipping by without a trace,1.3,0.9486832980505138,10,2
past it,2.4,1.3498971154211057,10,1
past iterative,1.7,0.8232726023485646,10,2
past its sell-by date,2.923076923076923,1.6563785025137654,13,0
past master,2.727272727272727,1.4206272622267313,11,6
past month,2.4,1.5946338585572373,15,0
past participle,2.2777777777777777,1.6016739609309327,18,0
past perfect,1.4,0.699205898780101,10,2
past perfect tense,2,1.3333333333333333,10,1
past progressive,2.5,1.35400640077266,10,1
past progressive tense,1.7,0.6749485577105528,10,1
past research,3.1,1.1972189997378648,10,0
past simple,NA,NA,9,8
past spring,3.272727272727273,1.4206272622267313,11,1
past summer,2.8181818181818183,1.2504544628399563,11,1
past tense,2.2,1.5491933384829668,10,0
past times,2.727272727272727,1.2720777563426766,11,0
past week,1.8,1.1352924243950935,10,0
past weekend,2.1,1.1005049346146119,10,0
past year,3.2,1.6865480854231356,10,0
past your prime,2,1.247219128924647,10,0
pasta bowl,4.7,0.48304589153964794,10,1
pasta dish,4.6,0.699205898780101,10,1
pasta salad,4.9,0.31622776601683794,10,1
pasta sauce,4.1,1.286683937707919,10,0
pasta server,3.1,1.449137674618944,10,2
pasta spoon,4.1,1.1005049346146119,10,2
paste over,3.8,1.398411797560202,10,0
pasteurized milk,4.6,0.699205898780101,10,1
pastoral farming,3.1,1.1972189997378648,10,2
pastry bag,4.8,0.4216370213557839,10,1
pastry brush,4.2,1.2292725943057183,10,2
pastry cart,4.7,0.6749485577105528,10,1
pastry chef,4.090909090909091,1.2210278829367867,11,0
pastry cook,3.5,1.6499158227686108,10,0
pastry dough,4,1.3333333333333333,10,0
pastry shell,4.1,1.1005049346146119,10,0
pastry shop,4.2,1.1352924243950935,10,0
pasture brake,3.3,1.4181364924121764,10,3
pat answer,NA,NA,9,9
pat down,3.7,1.3374935098492586,10,0
pat malone,4,1.3333333333333333,10,12
pat on the back,2.4,1.0749676997731399,10,0
pat someone on the back,3.2,1.6193277068654826,10,1
pat. pend.,3.2,1.6193277068654826,10,4
patch pocket,3.7,1.3374935098492586,10,3
patch test,4.2,0.7888106377466155,10,2
patch through,3.1,1.286683937707919,10,1
patch through to,1.3,0.6749485577105528,10,0
patch together,2.5,1.4337208778404378,10,0
patch up,3.25,1.4222261679238197,12,0
patchnose snake,4.454545454545454,1.0357254813546264,11,6
patchwork quilt,4.7,0.6749485577105528,10,1
pate de foie gras,4.875,0.5,16,8
pâté de foie gras,4.75,0.7372097807744856,24,20
pate feuillete,NA,NA,2,8
patella brace,NA,NA,8,8
patellar reflex,3.8181818181818183,1.2504544628399563,11,3
patent application,3.7,1.2516655570345725,10,1
patent case,2.8,1.1352924243950935,10,1
patent law,2.25,1.4847711791873706,12,1
patent leather,4.2,1.2292725943057183,10,0
patent log,3.6,1.0749676997731399,10,4
patent medicine,3.6,1.6465452046971292,10,1
patent of invention,2,1.1547005383792515,10,2
patent office,3.6363636363636362,1.6292775867068985,11,1
patent right,2.9,1.728840330651992,10,1
patent system,3.6,1.2649110640673518,10,0
pater familias,NA,NA,4,8
paternal cousin,4.1,0.9944289260117533,10,0
paternity case,3,1.6733200530681511,11,1
paternity leave,2.6,1.6465452046971292,10,0
paternity suit,2.9,1.3703203194062976,10,1
paternity test,4.2727272727272725,1.618079669911781,11,0
path of least resistance,1.9,0.9944289260117533,10,0
pathetic fallacy,1,0,10,2
patience is a virtue,1.8181818181818181,1.2504544628399563,11,0
patience of job,2.727272727272727,1.555050423035156,11,1
patient of,2.8,0.9189365834726815,10,0
patient role,3.2,1.398411797560202,10,3
patio chair,5,0,10,0
patio door,4.7272727272727275,0.9045340337332909,11,1
patio furniture,4.4,0.9660917830792959,10,0
patio heater,4.7272727272727275,0.6466697906828632,11,1
patio table,4.8,0.4216370213557839,10,0
patio umbrella,4.909090909090909,0.30151134457776363,11,1
patriarchal cross,3.5,1.0919284281983377,14,3
patrilineal kin,NA,NA,4,8
patrol boat,4.2,0.6324555320336759,10,0
patrol car,4.7,0.48304589153964794,10,0
patrol officer,4.8,0.6324555320336759,10,0
patrol ship,4.4,0.9660917830792959,10,1
patrol wagon,4.1,0.8755950357709131,10,2
patron saint,2.8181818181818183,1.3280197150781925,11,3
patter of tiny feet,2.9,1.5951314818673865,10,1
pattern after,NA,NA,8,8
pattern on,3.2,1.398411797560202,10,5
patterned advance,NA,NA,7,8
patterson's curse,NA,NA,1,8
patty cake,3.1,1.5951314818673865,10,0
patty shell,2.7,1.2516655570345725,10,6
pattypan squash,NA,NA,5,8
pau d'arco,NA,NA,3,13
pause button,3.5,1.35400640077266,10,0
pave out,2.4,1.0749676997731399,10,3
pave over,4,1.4142135623730951,10,0
pave the way,2.2,1.398411797560202,10,1
paved surface,4.1,1.1005049346146119,10,0
pavement artist,3.6,1.2649110640673518,10,0
pavement cafe,4.181818181818182,1.4709304414677002,11,4
pavement pizza,NA,NA,6,8
pavement princess,NA,NA,3,8
paving machine,3.8,1.1352924243950935,10,0
paving material,4.7,0.6749485577105528,10,0
paving slab,4,1.4142135623730951,11,1
paving stone,4.8,0.6324555320336759,10,1
paving tile,3.9,1.449137674618944,10,0
paw prints,4.8,0.4216370213557839,10,0
pawn off,2.3,1.5670212364724212,10,1
pawn off as,2.3,1.0593499054713802,10,0
pawn shop,4.666666666666667,0.8876253645985945,12,1
pawn ticket,4.181818181818182,1.0787197799411874,11,1
pawnbroker shop,4.888888888888889,0.4714045207910317,18,1
pax americana,1.8125,1.1672617529928753,16,10
pax britannica,2.6923076923076925,1.1821319289469756,13,13
pax romana,2,1.3333333333333333,10,10
pax vobiscum,NA,NA,7,8
pay a compliment,3,1.3333333333333333,10,2
pay a visit,2.3,1.4944341180973264,10,0
pay and display,2.9,1.449137674618944,10,3
pay as you earn,3.3,1.70293863659264,10,0
pay as you go,2.8,1.7511900715418263,10,0
pay attendance,2.5,1.1785113019775793,10,2
pay attention,2.272727272727273,1.4893561757289013,11,1
pay attention to,2.6,1.1737877907772674,10,0
pay back,3.090909090909091,1.3751033019046572,11,1
pay back for,2.9,1.728840330651992,10,1
pay back to,2.1,1.1005049346146119,10,0
pay bed,NA,NA,6,9
pay cash,2.9,0.7378647873726218,10,0
pay cash for,3.7,1.3374935098492586,10,0
pay channel,3.4,0.9660917830792959,10,1
pay cheque,4.4,1.3498971154211057,10,0
pay claim,3.2,1.6193277068654826,10,4
pay cut,2.8,0.9189365834726815,10,0
pay day,2.8181818181818183,1.662418829187267,11,0
pay dearly,2.1,1.1972189997378648,10,0
pay dirt,2.7,1.2516655570345725,10,1
pay dividends,2.7,1.3374935098492586,10,0
pay down,2.7,1.636391694484477,10,1
pay envelope,3.6,1.837873166945363,10,0
pay for,3.3,1.636391694484477,10,0
pay heed,2.3,1.1595018087284057,10,2
pay homage,2.2,1.5491933384829668,10,1
pay in,2.4,1.429840705968481,10,0
pay into,2.1,1.1005049346146119,10,0
pay lip service,2.4,0.9660917830792959,10,3
pay my respects,2.3,1.4944341180973264,10,1
pay off,2.6363636363636362,1.2454462508018416,33,1
pay one's debt to society,1.8,1.2292725943057183,10,0
pay one's dues,2.1,1.1005049346146119,10,0
pay out,3,1.1547005383792515,10,0
pay over the odds,2.6363636363636362,1.6292775867068985,11,3
pay packet,3.727272727272727,1.4893561757289013,11,3
pay phone,4.636363636363637,0.674199862463242,11,0
pay raise,3.4166666666666665,1.5642792899510294,12,0
pay rate,2.9,1.728840330651992,10,0
pay respect,2.1,0.9944289260117533,10,0
pay rise,2.6363636363636362,1.5015143870590966,11,0
pay scale,2.5454545454545454,1.4396969378057567,11,1
pay settlement,3.1,1.5238839267549948,10,2
pay slip,3.5,1.509230856356236,10,1
pay stub,4.5,0.7071067811865476,10,0
pay television,2.9,1.1972189997378648,10,3
pay the bills,3.8,1.1352924243950935,10,0
pay the fiddler,2.25,0.8660254037844386,12,5
pay the freight,3,1.5491933384829668,11,0
pay the penalty,2.75,1.1381803659589922,12,0
pay the piper,2.2,1.1352924243950935,10,0
pay the price,2.6,1.505545305418162,10,0
pay the shot,2,1.044465935734187,12,4
pay through the nose,1.9,1.286683937707919,10,0
pay through your nose,1.2,0.4216370213557839,10,1
pay tribute,2.8,1.8135294011647258,10,0
pay TV,3.3,1.1595018087284057,10,0
pay up,3.3,1.3374935098492586,10,0
pay your dues,1.9,1.1005049346146119,10,1
pay-off,2,1.4142135623730951,11,0
pay-TV,3.9,1.286683937707919,10,0
payback period,1.9,0.9944289260117533,10,0
payday loan,3.7,1.2516655570345725,10,1
paying attention,2.5833333333333335,1.378954368902449,12,0
paying back,2.727272727272727,1.2720777563426766,11,1
paying guest,3.5454545454545454,0.8201995322647244,11,1
paying-in slip,3.8181818181818183,1.0787197799411874,11,6
payment by results,2.090909090909091,1.7002673586554236,11,2
payment card,4.3,0.8232726023485646,10,0
payment problem,3.5,1.6499158227686108,10,0
payment rate,3.2,1.4757295747452437,10,0
payment service,3.8181818181818183,1.2504544628399563,11,0
payroll check,4,1.3165611772087666,16,0
payroll tax,3.4545454545454546,1.5075567228888183,11,1
pc board,4.1,1.1005049346146119,10,1
PC card,4.1,1.1972189997378648,10,1
PC Plod,NA,NA,3,8
PD day,NA,NA,4,8
pdf file,3.5,1.5811388300841898,10,0
pea coat,4.181818181818182,0.9816498172140428,11,5
pea family,3.4285714285714284,1.6035674514745464,14,9
pea flour,4.545454545454546,0.8201995322647244,11,0
pea green,3.6363636363636362,1.433368568981982,11,1
pea jacket,3.909090909090909,1.3751033019046572,11,1
pea patch,4.454545454545454,0.8201995322647244,11,0
pea plant,4.545454545454546,0.9341987329938275,11,0
pea pod,4.454545454545454,0.8201995322647244,11,0
pea shooter,4.5,0.7071067811865476,10,2
pea sized,3.3,1.4181364924121764,10,1
pea soup,4.818181818181818,0.6030226891555273,11,0
pea souper,2.2,1.2292725943057183,10,14
peace advocacy,3,1.495090003192804,18,1
peace and quiet,1.6363636363636365,0.9244162777371754,11,0
peace corps,4.363636363636363,1.026910636104941,11,2
peace dividend,3,1.632993161855452,10,4
peace effort,2.8,1.2292725943057183,10,0
peace maker,3.2,1.398411797560202,10,0
peace march,3.5454545454545454,1.3684762594679065,11,1
peace movement,2.5454545454545454,1.5075567228888183,11,0
peace of mind,1.7,1.3374935098492586,10,1
peace offering,2.1,1.1972189997378648,10,1
peace officer,4.2,1.0327955589886444,10,0
peace out,1.9,1.1005049346146119,10,1
peace pipe,3.1818181818181817,1.5374122295716148,11,1
peace process,2.4,1.429840705968481,10,1
peace sign,3.8,1.3165611772087666,10,0
peace symbol,4.1,0.9944289260117533,10,0
peace treaty,2.3636363636363638,1.5015143870590966,11,0
peacekeeping mission,2.4545454545454546,1.2135597524338357,11,0
peacekeeping operation,2.6,1.6465452046971292,10,1
peach bell,4.5,0.8498365855987975,10,5
peach bells,3.4615384615384617,1.5607361839521232,13,8
peach blight,NA,NA,8,8
peach colored,4.5,0.97182531580755,10,1
peach melba,NA,NA,6,9
peach orchard,4.7,0.6749485577105528,10,0
peach palm,4.4,0.8432740427115678,10,7
peach pie,4,1.3333333333333333,10,0
peach pit,4.454545454545454,0.8201995322647244,11,1
peach sauce,4.5,0.7071067811865476,10,0
peach tree,4.7,0.6749485577105528,10,0
peaches and cream,3.8181818181818183,1.4012980994907414,11,0
peaches-and-cream,4.2,0.7745966692414834,15,2
peachy keen,1.3,0.6749485577105528,10,3
peacock blue,4.4,0.5163977794943222,10,3
peacock butterfly,4.818181818181818,0.40451991747794525,11,0
peacock flower,4.454545454545454,0.8201995322647244,11,2
peak district,3.5454545454545454,1.7529196424044293,11,3
peak flow,2.6,1.577621275493231,10,1
peak hour,2.5,1.0801234497346435,10,1
peak oil,3.5,1.35400640077266,10,8
peak organisation,2.9,1.5238839267549948,10,4
peak rate,3,1.3333333333333333,10,0
peak season,1.7,0.9486832980505138,10,0
peak time,2.2,0.7888106377466155,10,2
peak viewing time,2.7,1.4181364924121764,10,1
peak visual,2.6,0.9660917830792959,10,2
peaked cap,4,1.632993161855452,10,5
peal out,3,1.4907119849998598,10,2
peanut butter,4.9,0.31622776601683794,10,0
peanut gallery,2.5,1.6499158227686108,10,1
peanut oil,4.9,0.31622776601683794,10,0
peanut shell,4.5,0.97182531580755,10,1
pear blight,3.7,1.3374935098492586,10,7
pear haw,NA,NA,7,8
pear tree,4.1,1.449137674618944,10,0
pearl barley,4.6,0.699205898780101,10,3
pearl diver,4.1,1.286683937707919,10,1
pearl gray,3.5,1.509230856356236,10,2
Pearl Harbor,4.2727272727272725,1.1908743922772957,11,0
pearl necklace,4.1,1.286683937707919,10,0
pearl of wisdom,1.9090909090909092,0.7006490497453707,11,0
pearl oyster,4.5,0.7071067811865476,10,1
pearls before swine,2.2,1.3165611772087666,10,5
pearls of wisdom,1,0,10,1
pearly gates,2.1,1.449137674618944,10,2
pearly penile papules,NA,NA,9,9
pearly prince,3.3,1.5670212364724212,10,4
pearly whites,3.6,1.2649110640673518,10,0
pears for your heirs,NA,NA,8,10
peasant revolt,2.75,1.3416407864998738,16,2
pease pudding,4.545454545454546,1.0357254813546264,11,7
peat bog,3.7,1.3374935098492586,10,5
peat moss,3.8,1.398411797560202,10,1
pebble beach,4.416666666666667,0.6685579234215214,12,1
pebble dash,NA,NA,2,8
pebble plant,3.909090909090909,1.300349603340998,11,6
pebble stone,4.2,1.1352924243950935,10,0
pecan pie,4.2,1.4757295747452437,10,0
pecan tree,4.181818181818182,1.1677484162422844,11,0
peck at,3.3333333333333335,1.4142135623730951,18,1
peck order,3.4,1.577621275493231,10,2
pecking order,2.4,1.1737877907772674,10,3
pectic acid,4.6,0.699205898780101,10,2
pectoral arch,4.2,1.3165611772087666,10,4
pectoral fin,4.6,0.699205898780101,10,1
pectoral girdle,4.1,1.449137674618944,10,1
pectoral muscle,4.454545454545454,1.0357254813546264,11,0
pectoral vein,4.583333333333333,0.5149286505444373,12,0
pedal bin,4.2,1.4757295747452437,10,6
pedal boat,4.85,0.4893604849295929,20,1
pedal extremity,3,1.5491933384829668,11,6
pedal point,NA,NA,7,8
