Expression,Code
make a loss,idiom
make a maiden flight,idiom
make a march,idiom
make a mark,idiom
make a meal of,idiom
make a meal out of,idiom
make a mental note,idiom
make a mess,idiom
make a mess of,idiom
make a mistake,idiom
make a mockery of,idiom
make a monkey of,idiom
make a monkey out of,idiom
make a motion,idiom
make a mountain out of a mole hill,idiom
make a mountain out of a molehill,idiom
make a move,idiom
make a movement,idiom
make a movie,idiom
make a name for oneself,idiom
make a name for yourself,idiom
make a noise,idiom
make a note,idiom
make a nuisance of yourself,idiom
make a pass,idiom
make a payment,idiom
make a phone call,idiom
make a picture,idiom
make a pig of oneself,idiom
make a pig of yourself,idiom
make a pig's ear of,idiom
make a pig's ear of something,idiom
make a pit stop,idiom
make a pitch,idiom
make a plan,idiom
make a point,idiom
make a point of,idiom
make a present,idiom
make a profit,idiom
make a promise,idiom
make a proposal,idiom
make a proposition,idiom
make a question,idiom
make a recommendation,idiom
make a recovery,idiom
make a reflection,idiom
make a regulation,idiom
make a remark,idiom
make a repayment,idiom
make a report,idiom
make a request,idiom
make a resolution,idiom
make a revolution,idiom
make a rise,idiom
make a risk,idiom
make a run,idiom
make a run for it,idiom
make a sacrifice,idiom
make a scene,idiom
make a shift,idiom
make a show,idiom
make a sign,idiom
make a silk purse,idiom
make a silk purse of a sow's ear,idiom
make a slit,idiom
make a song and dance about something,idiom
make a sound,idiom
make a spectacle of oneself,idiom
make a speech,idiom
make a splash,idiom
make a stand,idiom
make a start,idiom
make a statement,idiom
make a step,idiom
make a stink,idiom
make a stir,idiom
make a stoop,idiom
make a suggestion,idiom
make a survey,idiom
make a tally,idiom
make a test,idiom
make a touch,idiom
make a translation,idiom
make a trip,idiom
make a virtue of necessity,idiom
make a visit,idiom
make a voyage,idiom
make a will,idiom
make acquaintances,idiom
make advance,idiom
make advances,idiom
make after,idiom
make allowance,idiom
make allusion,idiom
make alterations,idiom
make amends,idiom
make an acknowledgement,idiom
make an annoucement,idiom
make an announcement,idiom
make an apology,idiom
make an appearance,idiom
make an application,idiom
make an arrangement,idiom
make an assertion,idiom
make an assessment,idiom
make an assist,idiom
make an attempt,idiom
make an enquiry,idiom
make an entrance,idiom
make an entry,idiom
make an error,idiom
make an escape,idiom
make an exaggeration,idiom
make an example,idiom
make an example of,idiom
make an exception,idiom
make an excuse,idiom
make an exhibition of oneself,idiom
make an exhibition of yourself,idiom
make an honest woman,idiom
make an impression,idiom
make an inquiry,idiom
make an introduction,idiom
make an objection,idiom
make an observation,idiom
make an offer,idiom
make an offer i can't refuse,idiom
make appearance,idiom
make appointment,idiom
make as if,idiom
make away,idiom
make away with,idiom
make baby jesus cry,idiom
make believe,idiom
make bold,idiom
make bond,idiom
make book,idiom
make career,idiom
make cash,idiom
make choice,idiom
make clean,idiom
make clear,idiom
make cold calls,idiom
make complaint,idiom
make computation,idiom
make confession,idiom
make conscience,idiom
make contact,idiom
make conversation,idiom
make decision,idiom
make defence,idiom
make demand,idiom
make difference,idiom
make do,idiom
make do with,idiom
make due,idiom
make effort,idiom
make ends meet,idiom
make every effort,idiom
make exit,idiom
make eyes at,idiom
make faces,idiom
make fast work of,idiom
make for,idiom
make free with,idiom
make friend,idiom
make friends,idiom
make full,idiom
make full use,idiom
make fun,idiom
make fun of,idiom
make gain,idiom
make game of,idiom
make good,idiom
make good on,idiom
make good time,idiom
make ground,idiom
make grow,idiom
make happy,idiom
make haste,idiom
make haste slowly,idiom
make hay,idiom
make hay while the sun shines,idiom
make head or tail of,idiom
make headlines,idiom
make headway,idiom
make heavy going of,idiom
make heavy weather of,idiom
make him,idiom
make him an offer he can't refuse,idiom
make his debut,idiom
make his escape,idiom
make his name,idiom
make his way,idiom
make history,idiom
make impact,idiom
make improvement,idiom
make inroads,idiom
make into,idiom
make investigation,idiom
make it,idiom
make it back,idiom
make it better,idiom
make it big,idiom
make it out,idiom
make it snappy,idiom
make it to,idiom
make it up to,idiom
make it worse,idiom
make it worth someone's while,idiom
make it worth your while,idiom
make its way,idiom
make judgement,idiom
make known,idiom
make lace,idiom
make law,idiom
make legislation,idiom
make light of,idiom
make light work,idiom
make light work of,idiom
make like,idiom
make like a banana and split,idiom
make little of,idiom
make love,idiom
make love not war,idiom
"make love, not war",idiom
make matters worse,idiom
make me do it,idiom
make mention,idiom
make merry,idiom
make mincemeat of,idiom
make mincemeat out of,idiom
make mine,idiom
make mistake,idiom
make moan,idiom
make money,idiom
make much,idiom
make much of,idiom
make my day,idiom
make myself clear,idiom
make news,idiom
make no bones,idiom
make no bones about,idiom
make no bones about it,idiom
make no bones about something,idiom
make no comment,idiom
make no mistake,idiom
make no move,idiom
make no provision,idiom
make noise,idiom
make nothing of,idiom
make oath,idiom
make of,idiom
make of it,idiom
make off,idiom
make off with,idiom
make one laugh,idiom
make one smile,idiom
make one's bed,idiom
make one's bed and lie in it,idiom
make one's blood boil,idiom
make one's blood run cold,idiom
make one's mark,idiom
make one's skin crawl,idiom
make one's way,idiom
make oneself scarce,idiom
make or break,idiom
make order,idiom
make out,idiom
make out like a bandit,idiom
make out of,idiom
make over,idiom
make over to,idiom
make pass,idiom
make payments,idiom
make peace,idiom
make peace with,idiom
make preparation,idiom
make proclamation,idiom
make profit,idiom
make progress,idiom
make promotion,idiom
make provision,idiom
make provisions,idiom
make publication,idiom
make pure,idiom
make quick work of,idiom
make recommendation,idiom
make recommendation for,idiom
make reference,idiom
make reference to,idiom
make repair,idiom
make report,idiom
make reservation,idiom
make resistance,idiom
make room,idiom
make sale,idiom
make sense,idiom
make sense of,idiom
make sense of it,idiom
make short work of,idiom
make short work of it,idiom
make small talk,idiom
make someone a happy panda,idiom
make someone feel,idiom
make someone see reason,idiom
make someone's blood boil,idiom
make someone's blood run cold,idiom
make someone's day,idiom
make someone's jaw drop,idiom
make someone's skin crawl,idiom
make someone's teeth itch,idiom
make something count,idiom
make something of it,idiom
make something of oneself,idiom
make something of yourself,idiom
make speech,idiom
make speed,idiom
make sport of,idiom
make strange,idiom
make strides,idiom
make sure,idiom
make the bed,idiom
make the best of,idiom
make the best of a bad job,idiom
make the best of something,idiom
make the cost,idiom
make the cut,idiom
make the difference,idiom
make the feathers fly,idiom
make the first move,idiom
make the fur fly,idiom
make the grade,idiom
make the link,idiom
make the most,idiom
make the most of,idiom
make the most of it,idiom
make the right noises,idiom
make the team,idiom
make the welkin ring,idiom
make the world go round,idiom
make time,idiom
make time for,idiom
make toast,idiom
make toward,idiom
make towards,idiom
make tracks,idiom
make trouble,idiom
make unnecessary,idiom
make up,idiom
make up for,idiom
make up for lost time,idiom
make up one's mind,idiom
make up the couch,idiom
make up to,idiom
make up with,idiom
make up work,idiom
make up your mind,idiom
make use,idiom
make use of,idiom
make vibrant sounds,idiom
make war,idiom
make water,idiom
make waves,idiom
make way,idiom
make whoopee,idiom
make with,idiom
make your blood boil,idiom
make your bum hum,idiom
make your ears burn,idiom
make your flesh crawl,idiom
make your hackles rise,idiom
make your hair stand on end,idiom
make your head spin,idiom
make your mark,idiom
make your mouth water,idiom
make your own bed,idiom
make your skin crawl,idiom
make your toes curl,idiom
make your way,idiom
make your way back,idiom
make your way to,idiom
make yourself at home,idiom
make yourself scarce,idiom
make yourself to home,idiom
make-a-wish foundation,noun-noun
make-believe,idiom
make-up,idiom
makes no difference,idiom
makes one's flesh craw,idiom
makes your blood boil,idiom
makes your blood run cold,idiom
makeup artist,noun-noun
makeup brush,noun-noun
makeup glitter,noun-noun
makeup remover,noun-noun
makeup set,noun-noun
makeup sponge,noun-noun
making a scene,idiom
making fun,idiom
making love,idiom
making short work of it,idiom
making the best of a bad job,idiom
making the big bucks,idiom
making tracks,idiom
making water,idiom
making waves,idiom
makings of,idiom
makuuchi dohyo-iri,noun-noun
mal de mer,noun-noun
mala fide,noun-noun
malar bone,noun-noun
malaria parasite,noun-noun
male and female,noun-noun
male aristocrat,noun-noun
male body,noun-noun
male bonding,noun-noun
male character,noun-noun
male chauvinism,noun-noun
male chauvinist,noun-noun
male chest,noun-noun
male child,noun-noun
male counterpart,noun-noun
male fern,noun-noun
male figure,noun-noun
male genital organ,noun-noun
male genitalia,noun-noun
male genitals,noun-noun
male horse,noun-noun
male menopause,noun-noun
male monarch,noun-noun
male offspring,noun-noun
male organ,noun-noun
male orgasm,noun-noun
male parent,noun-noun
male person,noun-noun
male plug,noun-noun
male prostitution,noun-noun
male reproductive system,noun-noun
male role,noun-noun
male sibling,noun-noun
male star,noun-noun
male streaker,noun-noun
male student,noun-noun
male voice,noun-noun
male-to-female,noun-noun
male-voice choir,noun-noun
malicious mischief,noun-noun
malicious prosecution,noun-noun
malignant tumor,noun-noun
mall rat,noun-noun
mallard duck,noun-noun
mallee fowl,noun-noun
malposed tooth,noun-noun
malt extract,noun-noun
malt liquor,noun-noun
malt sugar,noun-noun
malt vinegar,noun-noun
malt whiskey,noun-noun
malt whisky,noun-noun
malted milk,noun-noun
maltese cat,noun-noun
maltese cross,noun-noun
maltese dog,noun-noun
maltonic acid,noun-noun
malva pudding,noun-noun
mama bear,idiom
mama boy,idiom
mama mia,idiom
mama's boy,idiom
mamey sapote,idiom
mamma's boy,idiom
mammary gland,noun-noun
mammatus cloud,noun-noun
mammillary body,noun-noun
mammy market,idiom
man about town,idiom
man after my own heart,idiom
man alive,idiom
man and boy,idiom
man and wife,idiom
man bag,idiom
man body,idiom
man boob,idiom
man breasts,idiom
man bun,idiom
man cave,idiom
man child,idiom
man clothing,idiom
man crazy,idiom
man does not live by bread alone,idiom
man down,idiom
man enough,idiom
man flu,idiom
man friday,idiom
man hour,idiom
man in the moon,idiom
man in the street,idiom
man is known by his friends,idiom
man is the measure of all things,idiom
man management,idiom
man of action,idiom
man of affairs,idiom
man of deeds,idiom
man of few words,idiom
man of god,idiom
man of letters,idiom
man of means,idiom
man of one's word,idiom
man of parts,idiom
man of straw,idiom
man of the cloth,idiom
man of the hour,idiom
man of the house,idiom
man of the people,idiom
man of the world,idiom
man of war,idiom
man of word,idiom
man on the street,idiom
man the fort,idiom
man to man,idiom
man up,idiom
man who is his own lawyer has a fool for his client,idiom
man with the ax,idiom
man-eating shark,idiom
man-made,idiom
man-made lake,idiom
man-of-war,idiom
man-to-man defense,idiom
man's home is his castle,idiom
man's inhumanity to man,idiom
man's man,idiom
mana point,noun-noun
manage to,noun-noun
managed care,noun-noun
managed economy,noun-noun
managed health care,noun-noun
managed house,noun-noun
management accounting,noun-noun
management buyout,noun-noun
management company,noun-noun
management consultancy,noun-noun
management consultant,noun-noun
management post,noun-noun
managing director,noun-noun
managing editor,noun-noun
mandarin chinese,noun-noun
mandarin collar,noun-noun
mandarin duck,noun-noun
mandarin orange,noun-noun
mandatory sentence,noun-noun
mandibular bone,noun-noun
mandibular gland,noun-noun
mandibular joint,noun-noun
mandrake root,noun-noun
maneuver around,noun-noun
mango chutney,noun-noun
mango salsa,noun-noun
mango tree,noun-noun
mangrove swamp,noun-noun
mangrove tree,noun-noun
manhole cover,noun-noun
manic depression,noun-noun
manic depressive,noun-noun
manic disorder,noun-noun
manicure set,noun-noun
manifest destiny,noun-noun
manifold paper,noun-noun
manila envelope,noun-noun
manila folder,noun-noun
manilla paper,noun-noun
manna from heaven,idiom
manner of speaking,idiom
manner of walking,idiom
manners make the man,idiom
mano a mano,idiom
manoeuvre the apostles,idiom
manor hall,noun-noun
manor house,noun-noun
manorial court,noun-noun
manorial roll,noun-noun
mansard roof,noun-noun
mansion house,noun-noun
manta ray,noun-noun
mantel clock,noun-noun
manual dexterity,noun-noun
manual labor,noun-noun
manual laborer,noun-noun
manual transmission,noun-noun
manual typewriter,noun-noun
manual weeder,noun-noun
manufactured home,noun-noun
manufacturing business,noun-noun
manuka honey,noun-noun
manure spreader,noun-noun
manuscript paper,noun-noun
manuscript writing,noun-noun
manx cat,noun-noun
many a,idiom
many a good tune played on an old fiddle,idiom
many a little makes a mickle,idiom
many a mickle makes a muckle,idiom
many a slip 'twixt cup and lip,idiom
many a true word is spoken in jest,idiom
many a truth is said in jest,idiom
many another,idiom
many are called but few are chosen,idiom
many hands make light work,idiom
many happy returns,idiom
many irons in the fire,idiom
many thanks,idiom
many-sorted logic,idiom
mao jacket,noun-noun
maori hen,noun-noun
map maker,noun-noun
map making,noun-noun
map of tassie,noun-noun
map on,idiom
map onto,idiom
map out,idiom
map projection,noun-noun
map room,noun-noun
maple bat,noun-noun
maple leaf,noun-noun
maple sugar,noun-noun
maple syrup,noun-noun
maple tree,noun-noun
maraschino cherries,noun-noun
maraschino cherry,noun-noun
marathon runner,noun-noun
marble cake,noun-noun
marble headstone,noun-noun
marble plaque,noun-noun
marble slab,noun-noun
marble staircase,noun-noun
march away,idiom
"march comes in like a lion, and goes out like a lamb",idiom
march down,idiom
march fly,idiom
march madness,idiom
march of dimes,idiom
march off,idiom
march on,idiom
march past,idiom
march to one's own drummer,idiom
march to the beat of a different drum,idiom
march winds and april showers bring forth may flowers,idiom
marched upon,idiom
marching band,noun-noun
marching music,noun-noun
marching order,noun-noun
marching orders,noun-noun
marching season,noun-noun
marconi rig,noun-noun
mardi gras,noun-noun
mare tail,noun-noun
mare's nest,noun-noun
margaric acid,noun-noun
margin call,noun-noun
margin of error,noun-noun
margin of profit,noun-noun
margin of safety,noun-noun
marginal cost,noun-noun
marginal distribution,noun-noun
marginal land,noun-noun
marginal utility,noun-noun
mari complaisant,noun-noun
maria tallchief,noun-noun
mariachi band,noun-noun
marie celeste,noun-noun
marie rose sauce,noun-noun
marie's disease,noun-noun
marijuana cigarette,noun-noun
marinara sauce,noun-noun
marine animal,noun-noun
marine corps,noun-noun
marine creature,noun-noun
marine law,noun-noun
marine life,noun-noun
marine museum,noun-noun
marine officer,noun-noun
marine sergeant,noun-noun
marine stinger,noun-noun
marine toad,noun-noun
mariner's compass,noun-noun
mariposa lily,noun-noun
marital aid,noun-noun
marital bed,noun-noun
marital status,noun-noun
marital troubles,noun-noun
maritime law,noun-noun
mark a watershed,idiom
mark as,idiom
mark down,idiom
mark down as,idiom
mark my words,idiom
mark of cain,idiom
mark off,idiom
mark off from,idiom
mark out,idiom
mark out as,idiom
mark out for,idiom
mark out from,idiom
mark time,idiom
mark to market,idiom
mark to model,idiom
mark up,idiom
mark your words,idiom
mark-up language,idiom
marked man,idiom
marked woman,idiom
marker buoy,noun-noun
marker interface,noun-noun
marker pen,noun-noun
market analysis,noun-noun
market analyst,noun-noun
market cap,noun-noun
market capitalization,noun-noun
market cross,noun-noun
market day,noun-noun
market economy,noun-noun
market forces,noun-noun
market garden,noun-noun
market gardener,noun-noun
market gardening,noun-noun
market keeper,noun-noun
market leader,noun-noun
market letter,noun-noun
market maker,noun-noun
market order,noun-noun
market place,noun-noun
market potential,noun-noun
market price,noun-noun
market research,noun-noun
market researcher,noun-noun
market sentiment,noun-noun
market share,noun-noun
market square,noun-noun
market test,noun-noun
market town,noun-noun
market value,noun-noun
market watcher,noun-noun
marketing cost,noun-noun
marketing expert,noun-noun
marketing gimmick,idiom
marketing mix,idiom
marketing research,noun-noun
marking ink,noun-noun
markoff chain,noun-noun
markov chain,noun-noun
markov process,noun-noun
markup language,noun-noun
marmalade box,noun-noun
marmalade plum,noun-noun
marram grass,noun-noun
marriage bed,noun-noun
marriage broker,noun-noun
marriage brokerage,noun-noun
marriage bureau,noun-noun
marriage ceremony,noun-noun
marriage certificate,noun-noun
marriage contract,noun-noun
marriage counseling,noun-noun
marriage counselling,noun-noun
marriage counsellor,noun-noun
marriage counselor,noun-noun
marriage guidance,noun-noun
marriage license,noun-noun
marriage mart,idiom
marriage of convenience,idiom
marriage proposal,noun-noun
marriage vows,noun-noun
marriages are made in heaven,idiom
married couple,noun-noun
married man,noun-noun
married name,noun-noun
married person,noun-noun
married woman,noun-noun
marrow bone,noun-noun
marrow squash,noun-noun
marrowfat pea,noun-noun
marry come up,idiom
marry in,idiom
"marry in haste, repent at leisure",idiom
marry into,idiom
marry me,idiom
marry off,idiom
marry off to,idiom
marry out,idiom
marry up,idiom
marry up with,idiom
mars bar,noun-noun
mars express,noun-noun
mars rover,noun-noun
marsh bellflower,noun-noun
marsh buggy,noun-noun
marsh deer,noun-noun
marsh gas,noun-noun
marsh grass,noun-noun
marsh hen,noun-noun
marsh mallow,noun-noun
marsh marigold,noun-noun
marsh milkweed,noun-noun
marsh orchid,noun-noun
marsh plant,noun-noun
marsh swamp,noun-noun
marshal of the royal air force,noun-noun
marshalling yard,noun-noun
marshmallow fluff,noun-noun
martel de fer,noun-noun
marten cat,noun-noun
Martha's Vineyard,noun-noun
martial art,noun-noun
martial artist,noun-noun
martial arts,noun-noun
martial law,noun-noun
Martin Luther King Day,noun-noun
Martin Luther King Jr. Day,noun-noun
martini glass,noun-noun
martini shaker,noun-noun
martyr operation,noun-noun
masala chai,noun-noun
mascara brush,noun-noun
mascara wand,noun-noun
mash note,noun-noun
mash potato,noun-noun
mash up,idiom
mashed potato,noun-noun
mashed potatoes,noun-noun
mask of pregnancy,idiom
mask out,idiom
masked ball,noun-noun
masking paper,noun-noun
masking piece,noun-noun
masking tape,noun-noun
mason jar,noun-noun
mason trowel,noun-noun
mason-dixon line,noun-noun
mason's trowel,noun-noun
masquerade ball,noun-noun
masquerade costume,noun-noun
masquerade party,noun-noun
mass action,noun-noun
mass communication,noun-noun
mass culture,noun-noun
mass defect,noun-noun
mass deficiency,noun-noun
mass destruction,noun-noun
mass energy,noun-noun
mass extinction,noun-noun
mass grave,noun-noun
mass hysteria,noun-noun
mass index,noun-noun
mass mailing,noun-noun
mass market,noun-noun
mass media,noun-noun
mass medium,noun-noun
mass meeting,noun-noun
mass murder,noun-noun
mass murderer,noun-noun
mass noun,noun-noun
mass number,noun-noun
mass production,noun-noun
mass shift,noun-noun
mass spectrograph,noun-noun
mass spectrometer,noun-noun
mass spectroscopic,noun-noun
mass spectroscopy,noun-noun
mass spectrum,noun-noun
mass transit,noun-noun
mass unit,noun-noun
mass-produce,noun-noun
massage away,noun-noun
massage parlor,noun-noun
massage therapist,noun-noun
masse shot,noun-noun
massed fire,noun-noun
masses of,noun-noun
mast cell,noun-noun
master bedroom,noun-noun
master class,noun-noun
master copy,noun-noun
master degree,noun-noun
master file,noun-noun
master in business,noun-noun
master in business administration,noun-noun
master key,noun-noun
master of arts,noun-noun
master of arts in teaching,noun-noun
master of ceremonies,noun-noun
master of education,noun-noun
master of philosophy,noun-noun
master of science,noun-noun
master of the rolls,noun-noun
master of the universe,noun-noun
master plan,noun-noun
master sergeant,noun-noun
master stroke,noun-noun
master switch,noun-noun
master tradesman,noun-noun
master's degree,noun-noun
master's tournament,noun-noun
masterly inactivity,noun-noun
masters tournament,noun-noun
mastic tree,noun-noun
mastoid bone,noun-noun
mastoid process,noun-noun
Mata Hari,noun-noun
match a requirement,noun-noun
match against,noun-noun
match box,noun-noun
match day,noun-noun
match fixing,noun-noun
match game,noun-noun
match made in heaven,idiom
match made in hell,idiom
match plane,idiom
match play,idiom
match point,idiom
match stick,noun-noun
match up,idiom
match up to,idiom
match up with,idiom
match with,idiom
match wits,idiom
matchstick figure,idiom
matchstick man,idiom
mater familias,noun-noun
materia medica,noun-noun
material body,noun-noun
material breach,noun-noun
material implication,noun-noun
material possession,noun-noun
material witness,noun-noun
material world,noun-noun
maternal cousin,noun-noun
maternal grandchild,noun-noun
maternal language,noun-noun
maternal quality,noun-noun
maternity clothes,noun-noun
maternity hospital,noun-noun
maternity leave,noun-noun
maternity ward,noun-noun
mates rates,noun-noun
mates' rate,noun-noun
math teacher,noun-noun
mathematical economics,noun-noun
mathematical function,noun-noun
mathematical function program,noun-noun
mathematical logic,noun-noun
mathematical model,noun-noun
mathematical notation,noun-noun
mathematical operation,noun-noun
mathematical product,noun-noun
mathematical proof,noun-noun
mathematical relation,noun-noun
mathematical semantics,noun-noun
mathematical structure,noun-noun
matinee idol,noun-noun
matinée performance,noun-noun
mating season,noun-noun
matric exemption,noun-noun
matrilineal kin,noun-noun
matrix addition,noun-noun
matrix algebra,noun-noun
matrix decomposition,noun-noun
matrix inversion,noun-noun
matrix mechanics,noun-noun
matrix multiplication,noun-noun
matrix printer,noun-noun
matrix transposition,noun-noun
matron of honor,noun-noun
matte up,idiom
matter of course,idiom
matter of fact,idiom
matter of law,idiom
matter of life and death,idiom
matter of time,idiom
matter to,idiom
matters arising,idiom
mattress cover,noun-noun
mattress pad,noun-noun
mattress sheet,noun-noun
mattress topper,noun-noun
mature age student,idiom
mature student,idiom
matzah ball,noun-noun
matzo ball,noun-noun
matzo meal,noun-noun
matzoh ball,noun-noun
matzoh meal,noun-noun
maul oak,noun-noun
maunder minimum,noun-noun
maundy thursday,noun-noun
max muller,noun-noun
max out,idiom
maxi dress,idiom
maxillary artery,noun-noun
maxillary palp,noun-noun
maxim gun,noun-noun
maxima cum laude,noun-noun
maximal munch,noun-noun
maximum and minimum thermometer,noun-noun
maximum security prison,noun-noun
maximum wage,noun-noun
may blossom,idiom
may bug,idiom
may day,idiom
may the force be with you,idiom
may well,idiom
may you live in interesting times,idiom
mayonnaise jar,noun-noun
maypole dancing,noun-noun
mazer bowl,noun-noun
me neither,idiom
me thinks,idiom
me three,idiom
me time,idiom
me too,idiom
mea culpa,noun-noun
mead hall,noun-noun
meadow buttercup,noun-noun
meadow clary,noun-noun
meadow grass,noun-noun
meadow lark,noun-noun
meadow leek,noun-noun
meadow mouse,noun-noun
meadow pipit,noun-noun
meadow rue,noun-noun
meadow salsify,noun-noun
meadow vole,noun-noun
meal plan,noun-noun
meal ticket,noun-noun
meal time,noun-noun
meal worm,noun-noun
mealie meal,idiom
meals on wheels,idiom
mealy sage,idiom
mealy-mouthed,idiom
mean age,idiom
mean business,idiom
mean deviation,noun-noun
mean difference,noun-noun
mean distance,noun-noun
mean free path,noun-noun
mean length,noun-noun
mean percentage,noun-noun
mean proportional,noun-noun
mean ratings,noun-noun
mean score,noun-noun
mean solar day,noun-noun
mean spirited,idiom
mean square,idiom
mean streak,idiom
mean streets,idiom
mean sun,idiom
mean the world to,idiom
mean the world to someone,idiom
mean value,noun-noun
mean well,idiom
meaning of life,idiom
means grass,noun-noun
means of transportation,noun-noun
means test,idiom
meant for,idiom
meant to,idiom
measure against,idiom
measure off,idiom
measure out,idiom
measure up,idiom
measure up to,idiom
measure word,idiom
measured mile,noun-noun
measuring block,noun-noun
measuring cup,noun-noun
measuring device,noun-noun
measuring instrument,noun-noun
measuring jug,noun-noun
measuring rod,noun-noun
measuring spoon,noun-noun
measuring stick,noun-noun
measuring system,noun-noun
measuring tape,noun-noun
measuring the drapes,idiom
measuring unit,noun-noun
meat and drink,idiom
meat and potatoes,idiom
meat and two veg,idiom
meat cleaver,noun-noun
meat counter,noun-noun
meat cutter,noun-noun
meat grinder,noun-noun
meat hook,noun-noun
meat house,noun-noun
meat knife,noun-noun
meat loaf,noun-noun
meat market,noun-noun
meat packer,noun-noun
meat packing,noun-noun
meat pie,noun-noun
meat puppet,noun-noun
meat rack,noun-noun
meat safe,noun-noun
meat slicer,noun-noun
meat stick,noun-noun
meat tenderizer,noun-noun
meat thermometer,noun-noun
meat wagon,noun-noun
meat-packing business,noun-noun
meatball surgery,idiom
meccano set,noun-noun
mechanic arts,noun-noun
mechanic lien,noun-noun
mechanical advantage,noun-noun
mechanical device,noun-noun
mechanical digestion,noun-noun
mechanical digger,noun-noun
mechanical drawing,noun-noun
mechanical engineer,noun-noun
mechanical engineering,noun-noun
mechanical man,noun-noun
mechanical mixture,noun-noun
mechanical pencil,noun-noun
mechanical piano,noun-noun
mechanical press,noun-noun
mechanical system,noun-noun
med school,noun-noun
medal of freedom,idiom
medal of honor,idiom
medal play,idiom
medal winner,idiom
meddle with,idiom
media circus,idiom
media company,noun-noun
media consultant,noun-noun
media critic,noun-noun
media darling,idiom
media director,noun-noun
media event,noun-noun
media player,noun-noun
media report,noun-noun
media studies,noun-noun
median nerve,noun-noun
median strip,noun-noun
medical advice,noun-noun
medical aid,noun-noun
medical alert jewelry,noun-noun
medical assistant,noun-noun
medical bill,noun-noun
medical building,noun-noun
medical care,noun-noun
medical center,noun-noun
medical certificate,noun-noun
medical checkup,noun-noun
medical condition,noun-noun
medical diagnosis,noun-noun
medical dressing,noun-noun
medical evacuation,noun-noun
medical exam,noun-noun
medical examination,noun-noun
medical examiner,noun-noun
medical expense,noun-noun
medical hall,noun-noun
medical history,noun-noun
medical institution,noun-noun
medical instrument,noun-noun
medical intern,noun-noun
medical man,noun-noun
medical officer,noun-noun
medical practice,noun-noun
medical practitioner,noun-noun
medical procedure,noun-noun
medical prognosis,noun-noun
medical record,noun-noun
medical report,noun-noun
medical school,noun-noun
medical science,noun-noun
medical specialist,noun-noun
medical student,noun-noun
medical treatment,noun-noun
medicare check,noun-noun
medicare payment,noun-noun
medicinable finger,noun-noun
medicinal drug,noun-noun
medicinal leech,noun-noun
medicine ball,noun-noun
medicine cabinet,noun-noun
medicine chest,noun-noun
medicine dropper,noun-noun
medicine man,noun-noun
medicine shield,noun-noun
medieval latin,noun-noun
mediocre at best,noun-noun
meditate on,noun-noun
meditate upon,noun-noun
mediterranean sea,noun-noun
medium dry,noun-noun
medium frequency,noun-noun
medium of exchange,noun-noun
medium rare,noun-noun
medium scale integration,noun-noun
medium size,noun-noun
medium term,noun-noun
medium wave,noun-noun
medlar tree,noun-noun
medulla oblongata,noun-noun
medullae oblongatae,noun-noun
medusa head,idiom
meet a bad end,idiom
meet a condition,idiom
meet a criterion,idiom
meet a deadline,idiom
meet a demand,idiom
meet a need,idiom
meet a requirement,idiom
meet an untimely end,idiom
meet and greet,idiom
meet concern,idiom
meet expectations,idiom
meet halfway,idiom
meet need,idiom
meet obligation,idiom
meet one's doom,idiom
meet one's maker,idiom
meet one's match,idiom
meet someone halfway,idiom
meet the expectation,idiom
meet the expenses,idiom
meet the goals,idiom
meet the objective,idiom
meet the standards,idiom
meet together,idiom
meet up,idiom
meet up with,idiom
meet with,idiom
meet with interest,idiom
meet with success,idiom
meet you half way,idiom
meet your maker,idiom
meet your match,idiom
meet your waterloo,idiom
meet-and-greet,idiom
meetin' seed,idiom
meeting ground,noun-noun
meeting hall,noun-noun
meeting house,noun-noun
meeting of minds,idiom
meeting of the minds,idiom
meeting place,noun-noun
meeting point,noun-noun
megan's law,noun-noun
megaphone diplomacy,noun-noun
megaspore mother cell,noun-noun
megaton bomb,noun-noun
melba toast,noun-noun
Melbourne Cup,noun-noun
mellow out,idiom
mellow yellow,idiom
melodic line,idiom
melodic phrase,idiom
melodic theme,idiom
melody pipe,idiom
melon ball,idiom
melon baller,idiom
melon head,idiom
melon seeds,idiom
melon tree,idiom
melt away,idiom
melt down,idiom
melt in your mouth,idiom
melt into,idiom
melt off,idiom
melted butter,noun-noun
melted cheese,noun-noun
melted chocolate,noun-noun
melting point,noun-noun
melting pot,noun-noun
member card,noun-noun
member of congress,noun-noun
member of parliament,noun-noun
membership card,noun-noun
membership fee,noun-noun
memento mori,noun-noun
memo pad,noun-noun
memo sheet,noun-noun
memorial day,noun-noun
memorial service,noun-noun
memorial stone,noun-noun
memorial tablet,noun-noun
memory bank,noun-noun
memory board,noun-noun
memory cache,noun-noun
memory card,noun-noun
memory chip,noun-noun
memory device,noun-noun
memory jogger,noun-noun
memory lane,noun-noun
memory like a sieve,idiom
memory loss,noun-noun
memory page,idiom
memory picture,idiom
memory serves you well,idiom
memory stick,noun-noun
memory trace,idiom
men friday,idiom
men furnishings,idiom
men in suits,idiom
men's brief,noun-noun
men's evil manners live in brass; their virtues we write in water,idiom
men's room,noun-noun
men's skis,noun-noun
men's washroom sign,noun-noun
men's wear,noun-noun
menage a trois,idiom
ménage à trois,idiom
mend fences,idiom
mend one's ways,idiom
mend your ways,idiom
mendeleev law,noun-noun
menial task,idiom
meningitis outbreak,noun-noun
